date,group,match_no,home_team,away_team,actual_home_score,actual_away_score,predicted_home_score,predicted_away_score,predicted_outcome,actual_outcome,outcome_correct,exact_score_correct,outcome_probability,home_xg,away_xg,elo_diff,score_model,score_model_detail,within_one_goal_correct,home_goal_error,away_goal_error,scoreline_absolute_error,elo_poisson_predicted_home_score,elo_poisson_predicted_away_score,elo_poisson_predicted_outcome,elo_poisson_model_detail,training_cutoff,training_data_through,training_scope
2026-06-22 01:00:00,Group G,40,New Zealand,Egypt,1.0,3.0,0,1,away_win,away_win,True,False,1.0,1.208,1.566,-84.38,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",False,1.0,2.0,3.0,0,1,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-21,2026-06-20,before_match_date
2026-06-22 17:00:00,Group J,57,Argentina,Austria,2.0,0.0,3,0,home_win,home_win,True,False,0.6499999999999997,1.902,0.994,211.03,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",True,1.0,0.0,1.0,1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-22,2026-06-21,before_match_date
2026-06-22 21:00:00,Group I,51,France,Iraq,3.0,0.0,2,0,home_win,home_win,True,False,0.6499999999999997,2.103,0.899,276.04,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",True,1.0,0.0,1.0,2,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-22,2026-06-21,before_match_date
2026-06-23 00:00:00,Group I,52,Norway,Senegal,3.0,2.0,1,0,home_win,home_win,True,False,0.6499999999999997,1.397,1.353,10.48,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",False,2.0,2.0,4.0,1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-22,2026-06-21,before_match_date
2026-06-23 03:00:00,Group J,58,Jordan,Algeria,1.0,2.0,0,1,away_win,away_win,True,False,0.65,1.145,1.651,-118.96,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",True,1.0,1.0,2.0,0,1,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-22,2026-06-21,before_match_date
2026-06-23 17:00:00,Group K,63,Portugal,Uzbekistan,5.0,0.0,2,0,home_win,home_win,True,False,0.65,1.73,1.093,149.25,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",False,3.0,0.0,3.0,1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-23,2026-06-22,before_match_date
2026-06-23 20:00:00,Group L,69,England,Ghana,0.0,0.0,2,0,home_win,draw,False,False,0.65,1.904,0.993,211.68,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",False,2.0,0.0,2.0,1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-23,2026-06-22,before_match_date
2026-06-23 23:00:00,Group L,70,Panama,Croatia,0.0,1.0,0,1,away_win,away_win,True,True,0.619047619047619,1.162,1.627,-109.47,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",True,0.0,0.0,0.0,0,1,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-23,2026-06-22,before_match_date
2026-06-24 02:00:00,Group K,64,Colombia,DR Congo,1.0,0.0,2,0,home_win,home_win,True,False,0.65,1.86,1.017,196.34,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",True,1.0,0.0,1.0,1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-23,2026-06-22,before_match_date
2026-06-24 19:00:00,Group B,11,Switzerland,Canada,2.0,1.0,1,1,draw,home_win,False,False,1.0,1.43,1.322,25.43,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",True,1.0,0.0,1.0,1,1,draw,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-24,2026-06-23,before_match_date
