match_key,tournament,competition,year,round,stage_type,date,team,player,player_url,goal_text
FIFA World Cup 2010-group_G-3,FIFA World Cup 2010,FIFA World Cup,2010,Group G,group,2010-06-20,Brazil,Luís Fabiano,https://en.wikipedia.org/wiki/Lu%C3%ADs_Fabiano,"Luís Fabiano 25' , 50'"
FIFA World Cup 2010-group_G-3,FIFA World Cup 2010,FIFA World Cup,2010,Group G,group,2010-06-20,Brazil,Elano,https://en.wikipedia.org/wiki/Elano,Elano 62'
FIFA World Cup 2010-group_G-3,FIFA World Cup 2010,FIFA World Cup,2010,Group G,group,2010-06-20,Ivory Coast,Didier Drogba,https://en.wikipedia.org/wiki/Didier_Drogba,Drogba 79'
FIFA World Cup 2010-group_G-4,FIFA World Cup 2010,FIFA World Cup,2010,Group G,group,2010-06-21,Portugal,Raul Meireles,https://en.wikipedia.org/wiki/Raul_Meireles,Meireles 29'
FIFA World Cup 2010-group_G-4,FIFA World Cup 2010,FIFA World Cup,2010,Group G,group,2010-06-21,Portugal,Simão Sabrosa,https://en.wikipedia.org/wiki/Sim%C3%A3o_Sabrosa,Simão 53'
FIFA World Cup 2010-group_G-4,FIFA World Cup 2010,FIFA World Cup,2010,Group G,group,2010-06-21,Portugal,Hugo Almeida,https://en.wikipedia.org/wiki/Hugo_Almeida,Almeida 56'
FIFA World Cup 2010-group_G-4,FIFA World Cup 2010,FIFA World Cup,2010,Group G,group,2010-06-21,Portugal,Tiago Mendes,https://en.wikipedia.org/wiki/Tiago_Mendes,"Tiago 60' , 89'"
FIFA World Cup 2010-group_G-4,FIFA World Cup 2010,FIFA World Cup,2010,Group G,group,2010-06-21,Portugal,Liédson,https://en.wikipedia.org/wiki/Li%C3%A9dson,Liédson 81'
FIFA World Cup 2010-group_G-4,FIFA World Cup 2010,FIFA World Cup,2010,Group G,group,2010-06-21,Portugal,Cristiano Ronaldo,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Ronaldo 87'
FIFA World Cup 2010-group_G-6,FIFA World Cup 2010,FIFA World Cup,2010,Group G,group,2010-06-25,Ivory Coast,Yaya Touré,https://en.wikipedia.org/wiki/Yaya_Tour%C3%A9,Y. Touré 14'
FIFA World Cup 2010-group_G-6,FIFA World Cup 2010,FIFA World Cup,2010,Group G,group,2010-06-25,Ivory Coast,Romaric,https://en.wikipedia.org/wiki/Romaric_(footballer),Romaric 20'
FIFA World Cup 2010-group_G-6,FIFA World Cup 2010,FIFA World Cup,2010,Group G,group,2010-06-25,Ivory Coast,Salomon Kalou,https://en.wikipedia.org/wiki/Salomon_Kalou,Kalou 82'
FIFA World Cup 2010-group_H-1,FIFA World Cup 2010,FIFA World Cup,2010,Group H,group,2010-06-16,Chile,Jean Beausejour,https://en.wikipedia.org/wiki/Jean_Beausejour,Beausejour 34'
FIFA World Cup 2010-group_H-2,FIFA World Cup 2010,FIFA World Cup,2010,Group H,group,2010-06-16,Switzerland,Gelson Fernandes,https://en.wikipedia.org/wiki/Gelson_Fernandes,Fernandes 52'
FIFA World Cup 2010-group_H-3,FIFA World Cup 2010,FIFA World Cup,2010,Group H,group,2010-06-21,Chile,Mark González,https://en.wikipedia.org/wiki/Mark_Gonz%C3%A1lez,González 75'
