match_key,tournament,competition,year,round,stage_type,date,home_team,away_team,home_score,away_score
FIFA World Cup 2014-group_H-4,FIFA World Cup 2014,FIFA World Cup,2014,Group H,group,2014-06-22,South Korea,Algeria,2.0,4.0
FIFA World Cup 2014-group_H-5,FIFA World Cup 2014,FIFA World Cup,2014,Group H,group,2014-06-26,South Korea,Belgium,0.0,1.0
FIFA World Cup 2014-group_H-6,FIFA World Cup 2014,FIFA World Cup,2014,Group H,group,2014-06-26,Algeria,Russia,1.0,1.0
FIFA World Cup 2018-main-1,FIFA World Cup 2018,FIFA World Cup,2018,Round of 16,knockout,2018-06-30,France,Argentina,4.0,3.0
FIFA World Cup 2018-main-2,FIFA World Cup 2018,FIFA World Cup,2018,Round of 16,knockout,2018-06-30,Uruguay,Portugal,2.0,1.0
FIFA World Cup 2018-main-3,FIFA World Cup 2018,FIFA World Cup,2018,Round of 16,knockout,2018-07-01,Spain,Russia,1.0,1.0
FIFA World Cup 2018-main-4,FIFA World Cup 2018,FIFA World Cup,2018,Round of 16,knockout,2018-07-01,Croatia,Denmark,1.0,1.0
FIFA World Cup 2018-main-5,FIFA World Cup 2018,FIFA World Cup,2018,Round of 16,knockout,2018-07-02,Brazil,Mexico,2.0,0.0
FIFA World Cup 2018-main-6,FIFA World Cup 2018,FIFA World Cup,2018,Round of 16,knockout,2018-07-02,Belgium,Japan,3.0,2.0
FIFA World Cup 2018-main-7,FIFA World Cup 2018,FIFA World Cup,2018,Round of 16,knockout,2018-07-03,Sweden,Switzerland,1.0,0.0
FIFA World Cup 2018-main-8,FIFA World Cup 2018,FIFA World Cup,2018,Round of 16,knockout,2018-07-03,Colombia,England,1.0,1.0
FIFA World Cup 2018-main-9,FIFA World Cup 2018,FIFA World Cup,2018,Quarter-finals,knockout,2018-07-06,Uruguay,France,0.0,2.0
FIFA World Cup 2018-main-10,FIFA World Cup 2018,FIFA World Cup,2018,Quarter-finals,knockout,2018-07-06,Brazil,Belgium,1.0,2.0
FIFA World Cup 2018-main-11,FIFA World Cup 2018,FIFA World Cup,2018,Quarter-finals,knockout,2018-07-07,Sweden,England,0.0,2.0
FIFA World Cup 2018-main-12,FIFA World Cup 2018,FIFA World Cup,2018,Quarter-finals,knockout,2018-07-07,Russia,Croatia,2.0,2.0
FIFA World Cup 2018-main-13,FIFA World Cup 2018,FIFA World Cup,2018,Semi-finals,knockout,2018-07-10,France,Belgium,1.0,0.0
FIFA World Cup 2018-main-14,FIFA World Cup 2018,FIFA World Cup,2018,Semi-finals,knockout,2018-07-11,Croatia,England,2.0,1.0
FIFA World Cup 2018-main-15,FIFA World Cup 2018,FIFA World Cup,2018,Third Place play-off,other,2018-07-14,Belgium,England,2.0,0.0
FIFA World Cup 2018-main-16,FIFA World Cup 2018,FIFA World Cup,2018,Final,knockout,2018-07-15,France,Croatia,4.0,2.0
FIFA World Cup 2018-group_A-1,FIFA World Cup 2018,FIFA World Cup,2018,Group A,group,2018-06-14,Russia,Saudi Arabia,5.0,0.0
FIFA World Cup 2018-group_A-2,FIFA World Cup 2018,FIFA World Cup,2018,Group A,group,2018-06-15,Egypt,Uruguay,0.0,1.0
FIFA World Cup 2018-group_A-3,FIFA World Cup 2018,FIFA World Cup,2018,Group A,group,2018-06-19,Russia,Egypt,3.0,1.0
FIFA World Cup 2018-group_A-4,FIFA World Cup 2018,FIFA World Cup,2018,Group A,group,2018-06-20,Uruguay,Saudi Arabia,1.0,0.0
FIFA World Cup 2018-group_A-5,FIFA World Cup 2018,FIFA World Cup,2018,Group A,group,2018-06-25,Uruguay,Russia,3.0,0.0
FIFA World Cup 2018-group_A-6,FIFA World Cup 2018,FIFA World Cup,2018,Group A,group,2018-06-25,Saudi Arabia,Egypt,2.0,1.0
FIFA World Cup 2018-group_B-1,FIFA World Cup 2018,FIFA World Cup,2018,Group B,group,2018-06-15,Morocco,Iran,0.0,1.0
FIFA World Cup 2018-group_B-2,FIFA World Cup 2018,FIFA World Cup,2018,Group B,group,2018-06-15,Portugal,Spain,3.0,3.0
FIFA World Cup 2018-group_B-3,FIFA World Cup 2018,FIFA World Cup,2018,Group B,group,2018-06-20,Portugal,Morocco,1.0,0.0
FIFA World Cup 2018-group_B-4,FIFA World Cup 2018,FIFA World Cup,2018,Group B,group,2018-06-20,Iran,Spain,0.0,1.0
FIFA World Cup 2018-group_B-5,FIFA World Cup 2018,FIFA World Cup,2018,Group B,group,2018-06-25,Iran,Portugal,1.0,1.0
FIFA World Cup 2018-group_B-6,FIFA World Cup 2018,FIFA World Cup,2018,Group B,group,2018-06-25,Spain,Morocco,2.0,2.0
FIFA World Cup 2018-group_C-1,FIFA World Cup 2018,FIFA World Cup,2018,Group C,group,2018-06-16,France,Australia,2.0,1.0
FIFA World Cup 2018-group_C-2,FIFA World Cup 2018,FIFA World Cup,2018,Group C,group,2018-06-16,Peru,Denmark,0.0,1.0
FIFA World Cup 2018-group_C-3,FIFA World Cup 2018,FIFA World Cup,2018,Group C,group,2018-06-21,Denmark,Australia,1.0,1.0
FIFA World Cup 2018-group_C-4,FIFA World Cup 2018,FIFA World Cup,2018,Group C,group,2018-06-21,France,Peru,1.0,0.0
FIFA World Cup 2018-group_C-5,FIFA World Cup 2018,FIFA World Cup,2018,Group C,group,2018-06-26,Denmark,France,0.0,0.0
FIFA World Cup 2018-group_C-6,FIFA World Cup 2018,FIFA World Cup,2018,Group C,group,2018-06-26,Australia,Peru,0.0,2.0
FIFA World Cup 2018-group_D-1,FIFA World Cup 2018,FIFA World Cup,2018,Group D,group,2018-06-16,Argentina,Iceland,1.0,1.0
FIFA World Cup 2018-group_D-2,FIFA World Cup 2018,FIFA World Cup,2018,Group D,group,2018-06-16,Croatia,Nigeria,2.0,0.0
FIFA World Cup 2018-group_D-3,FIFA World Cup 2018,FIFA World Cup,2018,Group D,group,2018-06-21,Argentina,Croatia,0.0,3.0
